kelime	frequency	full_precision	scientific_notation	geçti_mi
--------------------------------------------------------------------------------
kadar	0.00363	0.003630000000000	3.63e-03	EVET
sonra	0.00282	0.002820000000000	2.82e-03	EVET
değil	0.00214	0.002140000000000	2.14e-03	EVET
büyük	0.00182	0.001820000000000	1.82e-03	EVET
güzel	0.0017	0.001700000000000	1.70e-03	EVET
zaman	0.0017	0.001700000000000	1.70e-03	EVET
nasıl	0.00138	0.001380000000000	1.38e-03	EVET
böyle	0.00135	0.001350000000000	1.35e-03	EVET
artık	0.00126	0.001260000000000	1.26e-03	EVET
doğru	0.00115	0.001150000000000	1.15e-03	EVET
kendi	0.00107	0.001070000000000	1.07e-03	EVET
devam	0.000955	0.000955000000000	9.55e-04	EVET
diğer	0.000955	0.000955000000000	9.55e-04	EVET
fazla	0.000933	0.000933000000000	9.33e-04	EVET
neden	0.000933	0.000933000000000	9.33e-04	EVET
olmak	0.000871	0.000871000000000	8.71e-04	EVET
şimdi	0.000871	0.000871000000000	8.71e-04	EVET
çünkü	0.000851	0.000851000000000	8.51e-04	EVET
ancak	0.000832	0.000832000000000	8.32e-04	EVET
başka	0.000832	0.000832000000000	8.32e-04	EVET
karşı	0.000813	0.000813000000000	8.13e-04	EVET
bütün	0.000776	0.000776000000000	7.76e-04	EVET
dünya	0.000759	0.000759000000000	7.59e-04	EVET
genel	0.000759	0.000759000000000	7.59e-04	EVET
hemen	0.000759	0.000759000000000	7.59e-04	EVET
bugün	0.000692	0.000692000000000	6.92e-04	EVET
küçük	0.000676	0.000676000000000	6.76e-04	EVET
gelen	0.000646	0.000646000000000	6.46e-04	EVET
insan	0.000646	0.000646000000000	6.46e-04	EVET
kadın	0.000646	0.000646000000000	6.46e-04	EVET
biraz	0.000631	0.000631000000000	6.31e-04	EVET
kabul	0.000617	0.000617000000000	6.17e-04	EVET
fakat	0.000562	0.000562000000000	5.62e-04	EVET
sahip	0.000562	0.000562000000000	5.62e-04	EVET
zaten	0.000562	0.000562000000000	5.62e-04	EVET
çocuk	0.000513	0.000513000000000	5.13e-04	EVET
üzere	0.000501	0.000501000000000	5.01e-04	EVET
kimse	0.000479	0.000479000000000	4.79e-04	EVET
etmek	0.000468	0.000468000000000	4.68e-04	EVET
hayır	0.000457	0.000457000000000	4.57e-04	EVET
demek	0.000447	0.000447000000000	4.47e-04	EVET
erkek	0.000447	0.000447000000000	4.47e-04	EVET
gerek	0.000437	0.000437000000000	4.37e-04	EVET
belki	0.000427	0.000427000000000	4.27e-04	EVET
hafta	0.000427	0.000427000000000	4.27e-04	EVET
olmaz	0.000427	0.000427000000000	4.27e-04	EVET
geçen	0.000407	0.000407000000000	4.07e-04	EVET
bence	0.000398	0.000398000000000	3.98e-04	EVET
haber	0.000389	0.000389000000000	3.89e-04	EVET
hangi	0.000389	0.000389000000000	3.89e-04	EVET
yoksa	0.000389	0.000389000000000	3.89e-04	EVET
mutlu	0.00038	0.000380000000000	3.80e-04	EVET
takip	0.00038	0.000380000000000	3.80e-04	EVET
lazım	0.000363	0.000363000000000	3.63e-04	EVET
gelir	0.000355	0.000355000000000	3.55e-04	EVET
karar	0.000347	0.000347000000000	3.47e-04	EVET
bağlı	0.000339	0.000339000000000	3.39e-04	EVET
hızlı	0.000339	0.000339000000000	3.39e-04	EVET
onlar	0.000339	0.000339000000000	3.39e-04	EVET
yakın	0.000339	0.000339000000000	3.39e-04	EVET
kolay	0.000331	0.000331000000000	3.31e-04	EVET
yarın	0.000324	0.000324000000000	3.24e-04	EVET
bilgi	0.000316	0.000316000000000	3.16e-04	EVET
merak	0.000316	0.000316000000000	3.16e-04	EVET
sabah	0.000316	0.000316000000000	3.16e-04	EVET
çıktı	0.000316	0.000316000000000	3.16e-04	EVET
akşam	0.000302	0.000302000000000	3.02e-04	EVET
falan	0.000302	0.000302000000000	3.02e-04	EVET
güçlü	0.000302	0.000302000000000	3.02e-04	EVET
olmuş	0.000302	0.000302000000000	3.02e-04	EVET
parti	0.000302	0.000302000000000	3.02e-04	EVET
verdi	0.000302	0.000302000000000	3.02e-04	EVET
cevap	0.000295	0.000295000000000	2.95e-04	EVET
bölüm	0.000288	0.000288000000000	2.88e-04	EVET
çıkan	0.000288	0.000288000000000	2.88e-04	EVET
almak	0.000282	0.000282000000000	2.82e-04	EVET
bazen	0.000282	0.000282000000000	2.82e-04	EVET
belli	0.000275	0.000275000000000	2.75e-04	EVET
polis	0.000275	0.000275000000000	2.75e-04	EVET
yemek	0.000275	0.000275000000000	2.75e-04	EVET
sanki	0.000269	0.000269000000000	2.69e-04	EVET
beyaz	0.000263	0.000263000000000	2.63e-04	EVET
durum	0.000263	0.000263000000000	2.63e-04	EVET
eylül	0.000263	0.000263000000000	2.63e-04	EVET
savaş	0.000263	0.000263000000000	2.63e-04	EVET
bende	0.000257	0.000257000000000	2.57e-04	EVET
hayat	0.000257	0.000257000000000	2.57e-04	EVET
kalan	0.000257	0.000257000000000	2.57e-04	EVET
kitap	0.000257	0.000257000000000	2.57e-04	EVET
canlı	0.000245	0.000245000000000	2.45e-04	EVET
deniz	0.000245	0.000245000000000	2.45e-04	EVET
ister	0.000245	0.000245000000000	2.45e-04	EVET
milli	0.00024	0.000240000000000	2.40e-04	EVET
sorun	0.00024	0.000240000000000	2.40e-04	EVET
video	0.00024	0.000240000000000	2.40e-04	EVET
görev	0.000234	0.000234000000000	2.34e-04	EVET
müzik	0.000234	0.000234000000000	2.34e-04	EVET
satın	0.000234	0.000234000000000	2.34e-04	EVET
